Location,PostOffice,State,Postcode
Jalan Intan,Kuala Lumpur,Wilayah Persekutuan,57100
Jalan Intan (Gombak),Kuala Lumpur,Wilayah Persekutuan,53100
Jalan Ipoh Baharu (Kampung Batu),Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Ipoh Kanan,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Ipoh Kecil,Kuala Lumpur,Wilayah Persekutuan,50350
Jalan Ipoh Kiri,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Iskandar,Kuala Lumpur,Wilayah Persekutuan,54100
Jalan Ismail Ghani,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Istana,Kuala Lumpur,Wilayah Persekutuan,50460
Jalan J (Kampung Pandan),Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Jalak,Kuala Lumpur,Wilayah Persekutuan,56100
Jalan Jalil Perkasa 7,Kuala Lumpur,Wilayah Persekutuan,57000
Jalan Jalil Perwira 1,Kuala Lumpur,Wilayah Persekutuan,58200
Jalan Jambu,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Air,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Air Laut,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Air Mawar,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Arang,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Arang (1 - 2),Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Batu,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Berasa (1 - 4),Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Berteh,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Berteh (1 - 3),Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Gajus,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Gajus (1 - 2),Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Golok,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Jembah,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Jembah (1 - 3),Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Jerteh,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Laut,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Mawar,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Melaka,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Melaka (1 - 5),Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Merah,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Merah (1 - 3),Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jambu Susu,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jarak,Kuala Lumpur,Wilayah Persekutuan,50490
Jalan Jarret,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Jati,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Jejaka,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Jejawi,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Jelatek,Kuala Lumpur,Wilayah Persekutuan,54200
Jalan Jelatek (1 - 5),Kuala Lumpur,Wilayah Persekutuan,54200
Jalan Jelawat 1,Kuala Lumpur,Wilayah Persekutuan,56000
Jalan Jelawat 2,Kuala Lumpur,Wilayah Persekutuan,56000
Jalan Jelutong,Kuala Lumpur,Wilayah Persekutuan,50490
Jalan Jembai,Kuala Lumpur,Wilayah Persekutuan,54100
Jalan Jembiah,Kuala Lumpur,Wilayah Persekutuan,54100
Jalan Jenjarom,Kuala Lumpur,Wilayah Persekutuan,58000
Jalan Jerejak,Kuala Lumpur,Wilayah Persekutuan,53000
Jalan Jerejak 1,Kuala Lumpur,Wilayah Persekutuan,53000
Jalan Jinjang Utara,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Jintan,Kuala Lumpur,Wilayah Persekutuan,56100
Jalan Jintan Manis,Kuala Lumpur,Wilayah Persekutuan,56100
Jalan Jiran (1 - 2),Kuala Lumpur,Wilayah Persekutuan,58200
Jalan Johar,Kuala Lumpur,Wilayah Persekutuan,50490
Jalan Johor Selatan,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Jublee,Kuala Lumpur,Wilayah Persekutuan,55200
Jalan Jugra,Kuala Lumpur,Wilayah Persekutuan,58100
Jalan K (Kampung Pandan),Kuala Lumpur,Wilayah Persekutuan,55100
Jalan K7 (Taman Melawati),Kuala Lumpur,Wilayah Persekutuan,53100
Jalan Kachang,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Kaloi,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Kalong,Kuala Lumpur,Wilayah Persekutuan,55200
Jalan Kampar,Kuala Lumpur,Wilayah Persekutuan,50400
Jalan Kampung,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Kampung Attap,Kuala Lumpur,Wilayah Persekutuan,50460
Jalan Kampung Bandar Dalam,Kuala Lumpur,Wilayah Persekutuan,51000
Jalan Kampung Pandan,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Kanchil,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Kangkong,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Kangsar,Kuala Lumpur,Wilayah Persekutuan,51100
Jalan Kapas,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Kasah,Kuala Lumpur,Wilayah Persekutuan,50490
Jalan Kasah Dalam,Kuala Lumpur,Wilayah Persekutuan,50490
Jalan Kasah Tepi,Kuala Lumpur,Wilayah Persekutuan,50490
Jalan Kasipillay,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Kawat,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Kebun Bunga,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Kedah,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Kedidi,Kuala Lumpur,Wilayah Persekutuan,51100
Jalan Kedondong,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Kedondong (1 - 3),Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Kekabu,Kuala Lumpur,Wilayah Persekutuan,50490
Jalan Kelab Golf,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Kelantan,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Kelapa,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Keledek,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Kelian,Kuala Lumpur,Wilayah Persekutuan,55200
Jalan Kemaris,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Kemuja,Kuala Lumpur,Wilayah Persekutuan,59000
Jalan Kemuning,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Kemunting,Kuala Lumpur,Wilayah Persekutuan,50300
Jalan Kenanga,Kuala Lumpur,Wilayah Persekutuan,55200
Jalan Keng Hooi,Kuala Lumpur,Wilayah Persekutuan,53200
Jalan Kent,Kuala Lumpur,Wilayah Persekutuan,54000
Jalan Kent (1 - 8),Kuala Lumpur,Wilayah Persekutuan,54000
Jalan Kepah,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Kepong (Hingga Km 16),Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Kepong Baru,Kuala Lumpur,Wilayah Persekutuan,52100
Jalan Kepong Lama,Kuala Lumpur,Wilayah Persekutuan,52000
Jalan Keramat,Kuala Lumpur,Wilayah Persekutuan,54000
Jalan Keramat Dalam,Kuala Lumpur,Wilayah Persekutuan,54000
Jalan Keramat Hujong,Kuala Lumpur,Wilayah Persekutuan,54000
Jalan Keramat Hujung,Kuala Lumpur,Wilayah Persekutuan,54000
Jalan Keramat Jaya,Kuala Lumpur,Wilayah Persekutuan,54000
Jalan Keramat Tepi,Kuala Lumpur,Wilayah Persekutuan,54000
Jalan Kerambit,Kuala Lumpur,Wilayah Persekutuan,54100
Jalan Keranji (1 - 2),Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Kerayong,Kuala Lumpur,Wilayah Persekutuan,50460
Jalan Kerayong Kecil,Kuala Lumpur,Wilayah Persekutuan,50460
Jalan Kerinchi,Kuala Lumpur,Wilayah Persekutuan,59200
Jalan Kerinchi Kanan,Kuala Lumpur,Wilayah Persekutuan,59200
Jalan Kerinchi Kiri,Kuala Lumpur,Wilayah Persekutuan,59200
Jalan Kerja Ayer,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Keruing (Gombak),Kuala Lumpur,Wilayah Persekutuan,53000
Jalan Keruing (Pantai Baru),Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Kesedang,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Ketapang,Kuala Lumpur,Wilayah Persekutuan,53000
Jalan Ketola,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Khalsa,Kuala Lumpur,Wilayah Persekutuan,51100
Jalan Khatib Koyan,Kuala Lumpur,Wilayah Persekutuan,50300
Jalan Khoo Teik Ee,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Kia Peng,Kuala Lumpur,Wilayah Persekutuan,50450
Jalan Kiara,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Kiara 2,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Kiara 3,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Kiara 5,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Kiara 7,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Kijang,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Kilang (1 - 3),Kuala Lumpur,Wilayah Persekutuan,53200
Jalan Kilat,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Kim Leng,Kuala Lumpur,Wilayah Persekutuan,53200
Jalan Kinabalu,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Kinta,Kuala Lumpur,Wilayah Persekutuan,50400
Jalan Kipas,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Klang Lama - Beg berkunci,Kuala Lumpur,Wilayah Persekutuan,58990
Jalan Klang Lama - Peti surat 1 - 240,Kuala Lumpur,Wilayah Persekutuan,58700
Jalan Klang Lama (Hingga Km 9.5),Kuala Lumpur,Wilayah Persekutuan,58000
Jalan Kolam Ayer,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Kolam Ayer (1 - 4),Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Kong Lam,Kuala Lumpur,Wilayah Persekutuan,53200
Jalan Kota,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Kota Raja,Kuala Lumpur,Wilayah Persekutuan,58000
Jalan Kovil Hilir,Kuala Lumpur,Wilayah Persekutuan,51100
Jalan Kovil Ulu,Kuala Lumpur,Wilayah Persekutuan,51100
Jalan Krian,Kuala Lumpur,Wilayah Persekutuan,51100
Jalan Krian (1 & 2),Kuala Lumpur,Wilayah Persekutuan,51100
Jalan Kuantan,Kuala Lumpur,Wilayah Persekutuan,53200
Jalan Kuari,Kuala Lumpur,Wilayah Persekutuan,56100
Jalan Kuchai (1 - 9),Kuala Lumpur,Wilayah Persekutuan,58200
Jalan Kuchai Lama,Kuala Lumpur,Wilayah Persekutuan,58200
Jalan Kuching,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Kudat,Kuala Lumpur,Wilayah Persekutuan,53000
Jalan Kuini,Kuala Lumpur,Wilayah Persekutuan,51100
Jalan Kukubah Satu,Kuala Lumpur,Wilayah Persekutuan,53000
Jalan Kundang,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Kundang (1 - 3),Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Kundur,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Kurau,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Labu,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Ladang Maktab,Kuala Lumpur,Wilayah Persekutuan,54000
Jalan Lahat,Kuala Lumpur,Wilayah Persekutuan,50400
Jalan Lai Tet Loke,Kuala Lumpur,Wilayah Persekutuan,54100
Jalan Laksamana,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Laman Peel,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Laman Raja Laut,Kuala Lumpur,Wilayah Persekutuan,50350
Jalan Lanchang (1 - 4),Kuala Lumpur,Wilayah Persekutuan,56100
Jalan Landai Permai,Kuala Lumpur,Wilayah Persekutuan,57100
Jalan Landak,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Lang Worthy,Kuala Lumpur,Wilayah Persekutuan,54100
Jalan Langgak Bukit,Kuala Lumpur,Wilayah Persekutuan,53000
Jalan Langgak Duta,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Langgak Golf,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Langgak Tasek,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Langkawi,Kuala Lumpur,Wilayah Persekutuan,53000
Jalan Langkawi (Danau Kota),Kuala Lumpur,Wilayah Persekutuan,53300
Jalan Langsat,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Lapan,Kuala Lumpur,Wilayah Persekutuan,51100
Jalan Lapangan Permai Off Jalan Istana,Kuala Lumpur,Wilayah Persekutuan,57100
Jalan Lapangan Terbang Lama,Kuala Lumpur,Wilayah Persekutuan,50460
Jalan Latihan,Kuala Lumpur,Wilayah Persekutuan,51100
Jalan Law Yew Swee,Kuala Lumpur,Wilayah Persekutuan,50250
Jalan Lazat (1 - 7),Kuala Lumpur,Wilayah Persekutuan,58200
Jalan Ledang,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Lembah,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Lembah Duta,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Lembah Ledang,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Lembah Pantai,Kuala Lumpur,Wilayah Persekutuan,59200
Jalan Lembah Tunku,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Lembing,Kuala Lumpur,Wilayah Persekutuan,54100
Jalan Lenggong,Kuala Lumpur,Wilayah Persekutuan,51100
Jalan Lenggong (1 & 2),Kuala Lumpur,Wilayah Persekutuan,51100
Jalan Lengkuas,Kuala Lumpur,Wilayah Persekutuan,55200
Jalan Liew Weng Chee,Kuala Lumpur,Wilayah Persekutuan,50450
Jalan Liku,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Limau Besar,Kuala Lumpur,Wilayah Persekutuan,59000
Jalan Limau Kasturi,Kuala Lumpur,Wilayah Persekutuan,59000
Jalan Limau Manis (1 - 3),Kuala Lumpur,Wilayah Persekutuan,59000
Jalan Limau Nipis,Kuala Lumpur,Wilayah Persekutuan,59000
Jalan Limau Purut,Kuala Lumpur,Wilayah Persekutuan,59000
Jalan Logam,Kuala Lumpur,Wilayah Persekutuan,55200
Jalan Loke Yew,Kuala Lumpur,Wilayah Persekutuan,55200
Jalan Lombong,Kuala Lumpur,Wilayah Persekutuan,55200
Jalan Loong Hin,Kuala Lumpur,Wilayah Persekutuan,53200
Jalan Lumba Kuda,Kuala Lumpur,Wilayah Persekutuan,50450
Jalan Lumut,Kuala Lumpur,Wilayah Persekutuan,50400
Jalan Maarof,Kuala Lumpur,Wilayah Persekutuan,59000
Jalan Mac Namara,Kuala Lumpur,Wilayah Persekutuan,54100
Jalan Madge,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Madrasah,Kuala Lumpur,Wilayah Persekutuan,53100
Jalan Mahameru,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Maharajalela,Kuala Lumpur,Wilayah Persekutuan,50150
Jalan Mahkamah,Kuala Lumpur,Wilayah Persekutuan,50200
Jalan Mahkamah Persekutuan,Kuala Lumpur,Wilayah Persekutuan,50050
Jalan Mahkamah Tinggi,Kuala Lumpur,Wilayah Persekutuan,50050
Jalan Mahkota,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Mahmud,Kuala Lumpur,Wilayah Persekutuan,50300
Jalan Maktab,Kuala Lumpur,Wilayah Persekutuan,54000
Jalan Maktab (1 - 8),Kuala Lumpur,Wilayah Persekutuan,54000
Jalan Malawali,Kuala Lumpur,Wilayah Persekutuan,53000
Jalan Mambu,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Manau,Kuala Lumpur,Wilayah Persekutuan,50460
Jalan Manda'Rina Damai,Kuala Lumpur,Wilayah Persekutuan,56000
Jalan Mangga,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Manisan,Kuala Lumpur,Wilayah Persekutuan,58200
Jalan Manisan (1 - 3),Kuala Lumpur,Wilayah Persekutuan,58200
Jalan Manjoi,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Manjoi (1 - 9),Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Maran,Kuala Lumpur,Wilayah Persekutuan,53200
Jalan Marsh,Kuala Lumpur,Wilayah Persekutuan,50470
Jalan Mas 1,Kuala Lumpur,Wilayah Persekutuan,58200
Jalan Masjid India,Kuala Lumpur,Wilayah Persekutuan,50100
Jalan Mata Air,Kuala Lumpur,Wilayah Persekutuan,53200
Jalan Mata Air (1 - 4),Kuala Lumpur,Wilayah Persekutuan,53200
Jalan Matang,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Matang (1 - 6),Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Mawar (Gombak),Kuala Lumpur,Wilayah Persekutuan,53000
Jalan Mawar 17,Kuala Lumpur,Wilayah Persekutuan,56100
Jalan Maya (Salak Selatan),Kuala Lumpur,Wilayah Persekutuan,57100
Jalan Mayang,Kuala Lumpur,Wilayah Persekutuan,50450
Jalan Mayang Sari,Kuala Lumpur,Wilayah Persekutuan,50450
Jalan Mc Conechy,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Medan Bonus,Kuala Lumpur,Wilayah Persekutuan,50100
Jalan Medan Pasar,Kuala Lumpur,Wilayah Persekutuan,50050
Jalan Medan Putra 6,Kuala Lumpur,Wilayah Persekutuan,52200
Jalan Medan Setia,Kuala Lumpur,Wilayah Persekutuan,50490
Jalan Medan Tuanku,Kuala Lumpur,Wilayah Persekutuan,50300
Jalan Medan Tuanku Satu,Kuala Lumpur,Wilayah Persekutuan,50300
Jalan Medang,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Medang Kapas,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Medang Kunyit,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Medang Payong,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Medang Serai,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Medang Tandok,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Mega 5,Kuala Lumpur,Wilayah Persekutuan,56100
Jalan Mega 6,Kuala Lumpur,Wilayah Persekutuan,56100
Jalan Melaka,Kuala Lumpur,Wilayah Persekutuan,50100
Jalan Melati,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Melati Indah,Kuala Lumpur,Wilayah Persekutuan,53100
Jalan Melayu,Kuala Lumpur,Wilayah Persekutuan,50100
Jalan Melor,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Memberang,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Mempelam,Kuala Lumpur,Wilayah Persekutuan,55200
Jalan Menarong,Kuala Lumpur,Wilayah Persekutuan,59000
"Jalan Menerung, Bangsar",Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Mengkuang,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Mengkudu,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Mentakab,Kuala Lumpur,Wilayah Persekutuan,53200
Jalan Menteri,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Merak,Kuala Lumpur,Wilayah Persekutuan,51100
Jalan Meranti,Kuala Lumpur,Wilayah Persekutuan,55200
Jalan Meranti (Gombak),Kuala Lumpur,Wilayah Persekutuan,53000
Jalan Merbau,Kuala Lumpur,Wilayah Persekutuan,53000
Jalan Merbok,Kuala Lumpur,Wilayah Persekutuan,50350
Jalan Merchu,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Mergastua,Kuala Lumpur,Wilayah Persekutuan,52100
Jalan Merlimau,Kuala Lumpur,Wilayah Persekutuan,55200
Jalan Merpati,Kuala Lumpur,Wilayah Persekutuan,50350
Jalan Mertang,Kuala Lumpur,Wilayah Persekutuan,53000
Jalan Meru,Kuala Lumpur,Wilayah Persekutuan,58100
Jalan Meru Selekoh,Kuala Lumpur,Wilayah Persekutuan,58100
Jalan Mesra,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Mesra Off Jalan Damai,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Mesui,Kuala Lumpur,Wilayah Persekutuan,50200
Jalan Metro 1,Kuala Lumpur,Wilayah Persekutuan,52100
Jalan Metro Prima,Kuala Lumpur,Wilayah Persekutuan,52100
Jalan Metro Pudu,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Metro Wangsa,Kuala Lumpur,Wilayah Persekutuan,53300
Jalan Mewah 4,Kuala Lumpur,Wilayah Persekutuan,56000
Jalan Morib,Kuala Lumpur,Wilayah Persekutuan,58100
Jalan Munshi Abdullah,Kuala Lumpur,Wilayah Persekutuan,50100
Jalan Murai (1 - 2),Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Murni,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Mutiara,Kuala Lumpur,Wilayah Persekutuan,53000
Jalan Mutiara 9,Kuala Lumpur,Wilayah Persekutuan,53100
Jalan Mutiara Utama,Kuala Lumpur,Wilayah Persekutuan,53100
Jalan Nadchatiram,Kuala Lumpur,Wilayah Persekutuan,56000
Jalan Nagasari,Kuala Lumpur,Wilayah Persekutuan,50200
Jalan Nakhoda Yusof,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Nakhoda Yusof (1 - 3),Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Nangka,Kuala Lumpur,Wilayah Persekutuan,51100
Jalan Negeri Sembilan,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Ng Ngee,Kuala Lumpur,Wilayah Persekutuan,53200
Jalan Nicholes,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Nikmat,Kuala Lumpur,Wilayah Persekutuan,58200
Jalan Nilam,Kuala Lumpur,Wilayah Persekutuan,55200
Jalan Nipah,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Nujum,Kuala Lumpur,Wilayah Persekutuan,54000
Jalan Nuri,Kuala Lumpur,Wilayah Persekutuan,51100
Jalan Nusa,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Nyaman,Kuala Lumpur,Wilayah Persekutuan,58200
Jalan Nyaman (1 - 12),Kuala Lumpur,Wilayah Persekutuan,58200
Jalan Nyonya,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Oasis 3,Kuala Lumpur,Wilayah Persekutuan,56000
Jalan O'Connel,Kuala Lumpur,Wilayah Persekutuan,54100
Jalan Overseas Union,Kuala Lumpur,Wilayah Persekutuan,58200
Jalan P. Ramlee,Kuala Lumpur,Wilayah Persekutuan,50250
Jalan Padang Belia,Kuala Lumpur,Wilayah Persekutuan,50470
Jalan Padang Jawa,Kuala Lumpur,Wilayah Persekutuan,58000
Jalan Padang Rengas,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Padang Tembak,Kuala Lumpur,Wilayah Persekutuan,54100
Jalan Padang Walter Grenier,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Pahang,Kuala Lumpur,Wilayah Persekutuan,53000
Jalan Pahang Barat,Kuala Lumpur,Wilayah Persekutuan,53000
Jalan Pahang Kecil,Kuala Lumpur,Wilayah Persekutuan,53200
Jalan Pahlawan,Kuala Lumpur,Wilayah Persekutuan,54100
Jalan Pakis,Kuala Lumpur,Wilayah Persekutuan,51200
Jalan Palaga,Kuala Lumpur,Wilayah Persekutuan,56100
Jalan Palmer,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Palong,Kuala Lumpur,Wilayah Persekutuan,55200
Jalan Panah,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Pandan Indah,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Pandan Indah 4/33,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Pandan Indah 6/10,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Pandan Jaya,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Pandan Utama,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Panggung,Kuala Lumpur,Wilayah Persekutuan,50000
Jalan Pangkor,Kuala Lumpur,Wilayah Persekutuan,50400
Jalan Pantai Baru,Kuala Lumpur,Wilayah Persekutuan,59200
Jalan Pantai Baru - Beg berkunci,Kuala Lumpur,Wilayah Persekutuan,59990
Jalan Pantai Baru - Peti surat 1121 - 1200,Kuala Lumpur,Wilayah Persekutuan,59700
Jalan Pantai Baru - Peti surat 1201 & ke atas,Kuala Lumpur,Wilayah Persekutuan,59800
Jalan Pantai Dalam,Kuala Lumpur,Wilayah Persekutuan,59200
Jalan Pantai Endah,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Pantai Jaya,Kuala Lumpur,Wilayah Persekutuan,59200
Jalan Pantai Permai 1,Kuala Lumpur,Wilayah Persekutuan,59200
Jalan Paoh,Kuala Lumpur,Wilayah Persekutuan,50460
Jalan Parlimen,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Pasar,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Pasar (Sungai Besi),Kuala Lumpur,Wilayah Persekutuan,57000
Jalan Pasar Baru,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Pasir,Kuala Lumpur,Wilayah Persekutuan,53200
Jalan Pasir Merah,Kuala Lumpur,Wilayah Persekutuan,58200
Jalan Pasir Puteh,Kuala Lumpur,Wilayah Persekutuan,58200
Jalan Pawang,Kuala Lumpur,Wilayah Persekutuan,54000
Jalan Payang,Kuala Lumpur,Wilayah Persekutuan,56100
Jalan Peel,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Pegawai,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Pejabat Pos,Kuala Lumpur,Wilayah Persekutuan,57000
Jalan Pekeliling Lama,Kuala Lumpur,Wilayah Persekutuan,50400
Jalan Pelaga,Kuala Lumpur,Wilayah Persekutuan,56100
Jalan Pelandok,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Pelangi 15,Kuala Lumpur,Wilayah Persekutuan,51100
Jalan Penaga,Kuala Lumpur,Wilayah Persekutuan,59100
Jalan Penggawa,Kuala Lumpur,Wilayah Persekutuan,55000
Jalan Penghulu Mat,Kuala Lumpur,Wilayah Persekutuan,58000
Jalan Perak,Kuala Lumpur,Wilayah Persekutuan,50450
Jalan Perdana,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Perhentian,Kuala Lumpur,Wilayah Persekutuan,51100
Jalan Perisa,Kuala Lumpur,Wilayah Persekutuan,58200
Jalan Perkasa (Pudu),Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Perlis,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Permai,Kuala Lumpur,Wilayah Persekutuan,50460
Jalan Permaisuri,Kuala Lumpur,Wilayah Persekutuan,55100
Jalan Permatang Pasir,Kuala Lumpur,Wilayah Persekutuan,57100
Jalan Permatang Pasir,Kuala Lumpur,Wilayah Persekutuan,58100
Jalan Persekutuan,Kuala Lumpur,Wilayah Persekutuan,50480
Jalan Persiaran Zaaba,Kuala Lumpur,Wilayah Persekutuan,60000
Jalan Pertiwi,Kuala Lumpur,Wilayah Persekutuan,55100
